impl_name,scenario,N,ns_per_op
py_array_q,MIXED_R80W20,100000,355.871
py_list,MIXED_R80W20,100000,462.252
rust_vec_i64,MIXED_R80W20,100000,4.032
sec3,MIXED_R80W20,100000,28.706
sec4,MIXED_R80W20,100000,30.349
std_vector,MIXED_R80W20,100000,10.022
std_vector_direct,MIXED_R80W20,100000,8.101
go_slice_int64,MIXED_R80W20,1000000,36.8207
numpy_int64,MIXED_R80W20,1000000,569.6843
py_array_q,MIXED_R80W20,1000000,437.7452
py_list,MIXED_R80W20,1000000,679.8752
rust_vec_i64,MIXED_R80W20,1000000,17.2453
sec3,MIXED_R80W20,1000000,58.3085
sec4,MIXED_R80W20,1000000,89.9644
std_vector,MIXED_R80W20,1000000,32.3828
std_vector_direct,MIXED_R80W20,1000000,17.8013
go_slice_int64,MIXED_R80W20,10000000,43.3582
numpy_int64,MIXED_R80W20,10000000,594.7604
py_array_q,MIXED_R80W20,10000000,524.2727
py_list,MIXED_R80W20,10000000,483.2942
rust_vec_i64,MIXED_R80W20,10000000,19.5968
sec3,MIXED_R80W20,10000000,56.4695
sec4,MIXED_R80W20,10000000,62.492
std_vector,MIXED_R80W20,10000000,32.3363
std_vector_direct,MIXED_R80W20,10000000,16.8762
go_slice_int64,MIXED_R80W20,100000000,86.6888
numpy_int64,MIXED_R80W20,100000000,746.208
py_array_q,MIXED_R80W20,100000000,549.8855
py_list,MIXED_R80W20,100000000,541.6819
rust_vec_i64,MIXED_R80W20,100000000,33.7509
sec3,MIXED_R80W20,100000000,53.7728
sec4,MIXED_R80W20,100000000,65.0385
std_vector,MIXED_R80W20,100000000,76.935
std_vector_direct,MIXED_R80W20,100000000,24.055
go_slice_int64,MIXED_R90W10,1000,0.0
numpy_int64,MIXED_R90W10,1000,430.7
py_array_q,MIXED_R90W10,1000,269.8
py_list,MIXED_R90W10,1000,230.2
rust_vec_i64,MIXED_R90W10,1000,3.1
sec3,MIXED_R90W10,1000,14.7
sec4,MIXED_R90W10,1000,23.2
